time,DEVICE VOLTAGE B2|XI2,DEVICE VOLTAGE B2|XI4,DEVICE VOLTAGE B2|XI6,DEVICE VOLTAGE B1|XI10
3.3999999999999999e-11,9.3225987971556673e-05,5.5114703912755383e-04,8.7647491207308508e-05,3.5035707650209582e-04
3.4200000000000002e-11,1.1134005826359116e-04,5.5853320031385941e-04,9.7369764663672722e-05,2.7333159151408270e-04
3.4399999999999999e-11,1.2632859518591619e-04,5.4198770443092392e-04,1.0852467454156645e-04,2.0886360269361853e-04
3.4600000000000002e-11,1.3775132738942674e-04,5.0103531612579247e-04,1.2146259450891153e-04,1.5809610956040826e-04
3.4799999999999999e-11,1.4532809536567585e-04,4.3967740346878624e-04,1.3657722312328412e-04,1.2035760877133028e-04
3.5000000000000002e-11,1.4896338950699104e-04,3.6524924181929413e-04,1.5429985853008355e-04,9.4035679955494772e-05
3.5199999999999999e-11,1.4877226498541139e-04,2.8624879956018668e-04,1.7508811667257758e-04,7.7174614977168233e-05
3.5400000000000002e-11,1.4508402506324499e-04,2.1031184881282347e-04,1.9940649079231256e-04,6.7828753751275183e-05
3.5599999999999999e-11,1.3841400941255589e-04,1.4306819938003377e-04,2.2769574212936459e-04,6.4245707887738965e-05
3.5800000000000002e-11,1.2940975408968187e-04,8.7905225205182403e-05,2.6032625412541349e-04,6.4945625550945972e-05
3.5999999999999998e-11,1.1878642666992157e-04,4.6279845536000613e-05,2.9752496537913906e-04,6.8742218413360545e-05
3.6200000000000002e-11,1.0726605267533860e-04,1.8213013960873215e-05,3.3925483691147154e-04,7.4733374445671644e-05
3.6399999999999998e-11,9.5529418190750122e-05,2.7534224764564360e-06,3.8501324717281750e-04,8.2277141380490538e-05
3.6600000000000002e-11,8.4183302546060853e-05,-1.6627723042794157e-06,4.3351482835833703e-04,9.0961827271035365e-05
3.6799999999999998e-11,7.3741556711094092e-05,3.0451592697125720e-06,4.8226292418032657e-04,1.0057521045636649e-04
3.7000000000000001e-11,6.4616954466522602e-05,1.4781111107053469e-05,5.2712688778929135e-04,1.1107593523813520e-04
3.7199999999999998e-11,5.7120900813082854e-05,3.1395700925303482e-05,5.6223149335533223e-04,1.2256913625653071e-04
3.7400000000000001e-11,5.1468942076298389e-05,5.0774638139316676e-05,5.8061219460729902e-04,1.3528763497140436e-04
3.7599999999999998e-11,4.7790856953905598e-05,7.0911846508565622e-05,5.7591665161813162e-04,1.4957938835767897e-04
3.7800000000000001e-11,4.6144611140671968e-05,8.9986626502258548e-05,5.4474289550602000e-04,1.6590104651392510e-04
3.7999999999999998e-11,4.6533617368506011e-05,1.0645480377788445e-04,4.8840093216248181e-04,1.8481626380082420e-04
3.8200000000000001e-11,4.8926669876460358e-05,1.1914517952469634e-04,4.1290779778082389e-04,2.0699542172756462e-04
3.8400000000000004e-11,5.3279739709099830e-05,1.2733545480158226e-04,3.2716168167746656e-04,2.3320999496749379e-04
3.8600000000000001e-11,5.9558605611042985e-05,1.3077939544896806e-04,2.4042794410007837e-04,2.6430888848494446e-04
3.8800000000000004e-11,6.7761080380452772e-05,1.2967190756770663e-04,1.6039690643640994e-04,3.0115439194610739e-04
3.9000000000000001e-11,7.7937348095666667e-05,1.2456055415682225e-04,9.2325563414210815e-05,3.4448115490110111e-04
3.9200000000000004e-11,9.0206593612486203e-05,1.1622759452361243e-04,3.9053978973476341e-05,3.9462514534654113e-04
3.9400000000000001e-11,1.0476763863528120e-04,1.0556970310520007e-04,1.4482813339165990e-06,4.5106290799727910e-04
3.9600000000000004e-11,1.2190077409635820e-04,9.3495558102652294e-05,-2.1068644482759642e-05,5.1173761332992023e-04
3.9800000000000001e-11,1.4195773221410332e-04,8.0850804667092845e-05,-3.0050821983690954e-05,5.7228843330109618e-04
4.0000000000000004e-11,1.6533741891826679e-04,6.8370812864396749e-05,-2.7655106751082978e-05,6.2559381167238352e-04
4.0200000000000001e-11,1.9244721076692791e-04,5.6656467031506317e-05,-1.6341567920266073e-05,6.6237188819279116e-04
4.0400000000000004e-11,2.2365268015306269e-04,4.6166688420502439e-05,1.3690435205247185e-06,6.7347812082787627e-04
4.0600000000000001e-11,2.5921925417366783e-04,3.7222097935854959e-05,2.3084381829223036e-05,6.5345752480101881e-04
4.0800000000000004e-11,2.9924200695440268e-04,3.0015755287306835e-05,4.6671168295400586e-05,6.0336255551889637e-04
4.1000000000000001e-11,3.4354144938485756e-04,2.4628363620828264e-05,7.0324087517130627e-05,5.3071409927885722e-04
4.1200000000000004e-11,3.9148063013609233e-04,2.1046338260615818e-05,9.2579234205833542e-05,4.4654898078372497e-04
4.1400000000000001e-11,4.4165353124034433e-04,1.9181682409040512e-05,1.1229075207104228e-04,3.6163829859339747e-04
4.1600000000000004e-11,4.9144087093238122e-04,1.8892818920506654e-05,1.2859728765542171e-04,2.8396494426918226e-04
4.1800000000000000e-11,5.3656156879335732e-04,2.0005552150257738e-05,1.4090176642996813e-04,2.1803808733118811e-04
4.2000000000000004e-11,5.7095867803644686e-04,2.2333310257471750e-05,1.4887255219065849e-04,1.6544140033000941e-04
4.2200000000000000e-11,5.8750925213927740e-04,2.5695838892834407e-05,1.5245464555471117e-04,1.2580238435370275e-04
4.2400000000000004e-11,5.7983448008643349e-04,2.9935631350958490e-05,1.5186931193896270e-04,9.7679810554754796e-05
4.2600000000000000e-11,5.4472484873788326e-04,3.4931596179558176e-05,1.4758574458972163e-04,7.9196620549772421e-05
4.2800000000000003e-11,4.8386936768862054e-04,4.0609754121599866e-05,1.4026330758729156e-04,6.8426772385774708e-05
4.3000000000000000e-11,4.0369315362841934e-04,4.6951070762185640e-05,1.3067625563598060e-04,6.3603023112618909e-05
4.3200000000000003e-11,3.1336315695823849e-04,5.3996805247713686e-05,1.1963753023001896e-04,6.3211932987716071e-05
4.3400000000000000e-11,2.2221012829531581e-04,6.1851921502021527e-05,1.0793475524297256e-04,6.6024097128276237e-05
4.3600000000000003e-11,1.3783669887007039e-04,7.0687100407792645e-05,9.6284551282317649e-05,7.1089689879545644e-05
4.3800000000000000e-11,6.5354817336349153e-05,8.0739646758559280e-05,8.5305109685183229e-05,7.7716733386362218e-05
4.4000000000000003e-11,7.4777991410395759e-06,9.2313052622643976e-05,7.5503580752298179e-05,8.5441835899300011e-05
